tenant_host,match,gov_id,strength,source,evidence
stpaul.escribemeetings.com,,ca:csd:4812018,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv St. Paul
stpaul.granicus.com,,us:place:2758000,fallback,ryan_stated,"St Paul, MN -- us:place:2758000 St. Paul city matched with spacing ignored"
stpete.granicus.com,,us:place:1263000,fallback,auto_derived+visual_confirmed,"logo alt text 'City of St. Petersburg, Fl' (landing.png) [reports/jurisdiction_screens/stpete.granicus.com/landing.png reports/jurisdiction_screens/stpete.granicus.com/meeting.png] -> place 1263000 -> registry: us_places.csv St. Petersburg city"
stratford.civicweb.net,,ca:csd:2430110,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Stratford
stratford.escribemeetings.com,,ca:csd:2430110,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Stratford
strathcona.escribemeetings.com,,ca:cd:5924,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_cd.csv Strathcona
strathmore.civicweb.net,,ca:csd:4805018,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Strathmore
stream.ci.concord.ca.us,,us:place:0616000,fallback,known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Concord city
stream2.ci.concord.ca.us,,us:place:0616000,fallback,known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Concord city
stthomas.civicweb.net,,ca:csd:3534021,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv St. Thomas
stthomas.escribemeetings.com,,ca:csd:3534021,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv St. Thomas
sturgeoncounty.escribemeetings.com,,ca:csd:4811059,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca:csd:4811059 Sturgeon County matched with spacing ignored
stwalburg.escribemeetings.com,,ca:csd:4717036,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv St. Walburg
summerland.civicweb.net,,ca:csd:5907035,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Summerland
summitcounty.granicus.com,,us:county:49043,fallback,wo213_identity_check,"ViewPublisher.php title is Summit County UT - Granicus Content; clips name Park City and Eastern Summit County; the Colorado county is summitcountyco.granicus.com (next row); live pages 5287/5413 already keyed us:county:49043"
summitcountyco.granicus.com,,us:county:08117,fallback,wildcard_http_sweep_1,HTTP 200 -> registry: us_counties.csv Summit County
sundancebeach.civicweb.net,,ca:csd:4811020,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Sundance Beach
sunnyside.primegov.com,,ca:csd:1001277,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Sunnyside
sunnyvaleca.granicus.com,,us:place:0677000,fallback,landing_page,"landing page https://sunnyvaleca.granicus.com/ reads ""Sunnyvale"" (re-verified 2026-09-03, WO-108 CA-roster pin audit; prior source was auto_derived+upcoming_roster, which falsely credited rtr-upcoming roster.csv even though that host is not the roster's calendar_url for this jurisdiction)"
superiorwi.gov,,us:cousub:5503178675,fallback,hub_sweep_wo126,"coverage registry row us:cousub:5503178675 (Superior town, WI); hub https://superiorwi.gov/agendacenter; meeting found via youtube at https://superiorwi.gov/agendacenter"
supremestateaz.granicus.com,,rtr:us:az:arizona-supreme-court,fallback,ryan_stated,"Arizona Supreme Court, AZ -- minted: minted from 'Arizona Supreme Court, AZ'"
sussex.escribemeetings.com,,rtr:ca:nb:sussex,fallback,wildcard_http_sweep_2,"bare form resolves -> unverified: minted from 'Sussex, NB'"
sussexcountyde.civicweb.net,,us:county:10005,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Sussex County
swissvaleborough.com,,us:place:4275816,fallback,identity_join+landing_page,"Swissvale, PA -- us_places.csv Swissvale borough [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
sylvanlake.civicweb.net,,ca:csd:4808012,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Sylvan Lake
tampabaywater.granicus.com,,rtr:us:fl:tampa-bay-water,fallback,visual_confirmed,"'Tampa Bay Water Board'; agenda 'South Hillsborough Pipeline' (landing.png, meeting.png) [reports/jurisdiction_screens/tampabaywater.granicus.com/landing.png reports/jurisdiction_screens/tampabaywater.granicus.com/meeting.png] -> no seat county in name -> unverified: minted from 'Tampa Bay Water, FL'"
tampagov.hylandcloud.com,,us:place:1271000,fallback,known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Tampa city
tangipahoaparishla.portal.civicclerk.com,,us:county:22105,fallback,wildcard_http_sweep_2,HTTP 404 api-supported-versions present -> registry: us_counties.csv Tangipahoa Parish
tannersvilleny.gov,,us:place:3673143,fallback,wo151_research_url_ladder_sweep,"coverage registry row us:place:3673143 (Tannersville village, NY); hub https://tannersvilleny.gov/village-info/planning-board-zoning-board-of-appeals/; meeting found via youtube at https://tannersvilleny.gov/meeting-minutes/"
tarrantcounty.primegov.com,,us:county:48439,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Tarrant County
tay.civicweb.net,,ca:csd:3543071,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Tay
taylor.civicweb.net,,ca:csd:5955030,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Taylor
taylor.granicus.com,,us:place:2679000,fallback,auto_derived+visual_confirmed,"'Taylor, MI Content' title; City Council meetings (landing.png) [reports/jurisdiction_screens/taylor.granicus.com/landing.png reports/jurisdiction_screens/taylor.granicus.com/meeting.png] -> place 2679000 -> registry: us_places.csv Taylor city"
tccd.granicus.com,,rtr:us:tx:tarrant-county-college-district,authoritative,architecture_doc_1_3,"GOVERNMENT_IDENTITY_ARCHITECTURE.md §1.3, verified live 2026-09-02 against ledger.db resolved_json -> unverified: minted from 'Tarrant County College District, TX'"
tcdsbpublishing.escribemeetings.com,,rtr:ca:on:toronto-catholic-district-school-board,fallback,known_domains,"app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> unverified: minted from 'Toronto, ON'"
tecumseh-pub.escribemeetings.com,,ca:csd:3537048,fallback,wo153_identity_join,"meeting agenda text names 'Tecumseh Town Hall - Council Chambers 917 Lesperance Road Tecumseh, Ontario N8N 1W9' -- confirms Tecumseh, Ontario, not Tecumseh city, Michigan (whose own jurisdiction_coverage.csv row happened to record this eScribe URL as its example_meeting_url)"
tecumseh.civicweb.net,,ca:csd:3537048,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Tecumseh
tecumseh.escribemeetings.com,,ca:csd:3537048,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Tecumseh
telkwa.civicweb.net,,ca:csd:5951038,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Telkwa
temagami.escribemeetings.com,,ca:csd:3548069,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Temagami
temiskamingshores.escribemeetings.com,,ca:csd:3554020,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Temiskaming Shores
tempe.hylandcloud.com,,us:place:0473000,fallback,known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Tempe city
terrace.civicweb.net,,ca:csd:5949011,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Terrace
terracebay.civicweb.net,,ca:csd:3558054,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Terrace Bay
tetoncounty.escribemeetings.com,,us:county:16081,fallback,wildcard_http_sweep_2,bare form resolves -> registry: us_counties.csv Teton County
thamescentre.escribemeetings.com,,ca:csd:3539027,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Thames Centre
thearchipelago.escribemeetings.com,,ca:csd:3549005,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv The Archipelago
thenation.escribemeetings.com,,ca:csd:3502025,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv The Nation
thorold.escribemeetings.com,,ca:csd:3526037,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Thorold
thorsby.civicweb.net,,ca:csd:4811021,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Thorsby
threehills.civicweb.net,,ca:csd:4805048,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Three Hills
thunderbay.escribemeetings.com,,ca:csd:3558004,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Thunder Bay
tiftonga.gov,,us:place:1376476,fallback,hub_sweep_wo126,"coverage registry row us:place:1376476 (Tifton city, GA); hub https://tiftonga.gov/calendar.aspx?view=list&year=2026&month=8&day=17&CID=14; meeting found via youtube at https://tiftonga.gov/AgendaCenter"
tillsonburg.escribemeetings.com,,ca:csd:3532004,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Tillsonburg
timmins.civicweb.net,,ca:csd:3556027,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Timmins
tiny.civicweb.net,,ca:csd:3543068,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Tiny
tofino.civicweb.net,,ca:csd:5923025,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Tofino
tompsc.com,,us:place:4548535,fallback,hub_sweep_wo126,"coverage registry row us:place:4548535 (Mount Pleasant town, SC); hub https://tompsc.com/AgendaCenter; meeting found via youtube at https://tompsc.com/AgendaCenter"
torbay.civicweb.net,,ca:csd:1001509,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Torbay
town-and-country.org,,us:place:2973618,fallback,identity_join+landing_page,"Town and Country, MO -- us_places.csv Town and Country city [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
townhallstreams.com,location_id=169,us:cousub:3300577380,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/troy-nh-2025-05-29-board-of-selectmen"
townhallstreams.com,location_id=69,us:cousub:0911044910,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/mansfield-ct-2020-04-20-planning-and-zoning-commission-meeting"
townhallstreams.com,location_id=94,us:cousub:2300140035,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/lisbon-me-2026-07-28-town-council-special-meeting"
townofcapevincent.gov,,us:place:3612353,fallback,wo151_research_url_ladder_sweep,"coverage registry row us:place:3612353 (Cape Vincent village, NY); hub https://townofcapevincent.gov/government/tb/; meeting found via youtube at https://townofcapevincent.gov/town-board-meeting-july-2-2026/"
townofchenango.civicweb.net,,us:cousub:3600715110,authoritative,ryan_stated,"Chenango town, NY -- Ryan 2026-09-10: authoritative, because the resolver's own registry match keys this CivicWeb host to Chenango County and a fallback pin cannot override it (BACKLOG open bug); page /m/chenango-county-ny-2026-09-02-town-board-02-sep-2026 is the Town Board"
townofchevychase.org,,us:place:2416620,fallback,wo153_identity_join,"video title 'Town of Chevy Chase Town Council Meeting' plus domain townofchevychase.org -> Chevy Chase town, MD (us_places.csv us:place:2416620), a distinct incorporated Maryland municipality from Chevy Chase Village town, MD (us:place:2416787), whose own jurisdiction_coverage.csv row wrongly recorded this domain"
townoffairfaxca.gov,,us:place:0623168,fallback,ryan_stated+upcoming_roster,"rtr-upcoming roster: Fairfax, Marin County, CA (all 109 are CA per Ryan 2026-09-02) -> registry: us_places.csv Fairfax town"
townoffrisco.primegov.com,,us:place:0828690,fallback,known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Frisco town
townofhorseheads.gov,,us:place:3635694,fallback,hub_sweep_wo126,"coverage registry row us:place:3635694 (Horseheads village, NY); hub https://townofhorseheads.gov/AgendaCenter; meeting found via youtube at https://townofhorseheads.gov/AgendaCenter"
townofsharptown.org,,us:place:2471650,fallback,wo151_research_url_ladder_sweep,"coverage registry row us:place:2471650 (Sharptown town, MD); hub https://townofsharptown.org/; meeting found via youtube at https://townofsharptown.org/?page_id=32"
townoftiburon.granicus.com,,us:place:0678666,fallback,ryan_stated+upcoming_roster,"rtr-upcoming roster: Tiburon, Marin County, CA (all 109 are CA per Ryan 2026-09-02) -> registry: us_places.csv Tiburon town"
townofvictorny.gov,,us:place:3677376,fallback,hub_sweep_wo126,"coverage registry row us:place:3677376 (Victor village, NY); hub https://townofvictorny.gov/agendacenter; meeting found via youtube at https://townofvictorny.gov/agendacenter"
trail.civicweb.net,,ca:csd:5905014,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Trail
trenthills.civicweb.net,,ca:csd:3514045,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Trent Hills
trentlakes.civicweb.net,,ca:csd:3515044,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Trent Lakes
troupcountyga.primegov.com,,us:county:13285,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Troup County
tucsonaz.hylandcloud.com,,us:place:0477000,fallback,known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Tucson city
tudorandcashel.civicweb.net,,ca:csd:3512048,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Tudor and Cashel
tularecounty.primegov.com,,us:county:06107,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Tulare County
tumblerridge.civicweb.net,,ca:csd:5955003,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Tumbler Ridge
turnervalley.civicweb.net,,ca:csd:4806009,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Turner Valley
tuscolacounty.civicweb.net,,us:county:26157,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Tuscola County
tvhamilton.cablecast.tv,,us:place:3933012,fallback,ryan_stated,"Hamilton, OH -- us_places.csv Hamilton city"
tweed.civicweb.net,,ca:csd:3512030,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Tweed
tweed.escribemeetings.com,,ca:csd:3512030,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Tweed
twohills.civicweb.net,,ca:csd:4810052,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Two Hills
ucluelet.civicweb.net,,ca:csd:5923019,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Ucluelet
umatilla.civicweb.net,,us:place:4175650,fallback,ryan_stated,"Umatilla, OR -- us_places.csv Umatilla city"
unioncity.primegov.com,,us:place:0681204,fallback,landing_page,"landing page https://unioncity.primegov.com/public/portal reads ""City of Union City and New Haven Unified School District (New Haven USD serves Union City, Alameda County, CA)"" (re-verified 2026-09-03, WO-108 CA-roster pin audit; prior source was ryan_stated+upcoming_roster, which falsely credited rtr-upcoming roster.csv even though that host is not the roster's calendar_url for this jurisdiction); re-confirmed live 2026-09-09 (City Council meeting location '34009 Alvarado-Niles Road, Union City, CA 94587') against wildcard_http_sweep_2's disagreeing Union KY guess"
urbana.cablecast.tv,,us:place:1777005,fallback,known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Urbana city
urbannava.gov,,us:place:5180272,fallback,wo151_research_url_ladder_sweep,"coverage registry row us:place:5180272 (Urbanna town, VA); hub https://urbannava.gov/pages/agenda-minutes-archive.php; meeting found via youtube at https://urbannava.gov/pages/public-notice-archive.php"
utica-il.gov,,us:place:1754222,fallback,wo151_research_url_ladder_sweep,"coverage registry row us:place:1754222 (North Utica village, IL); hub https://utica-il.gov; meeting found via youtube at https://utica-il.gov"
uxbridge.escribemeetings.com,,ca:csd:3518029,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Uxbridge
vacaville.granicus.com,,us:place:0681554,fallback,upcoming_roster,upcoming_jurisdictions.csv geoid=0681554 match=exact -> registry: us_places.csv Vacaville city
valemount.civicweb.net,,ca:csd:5953007,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Valemount
vallejoca.portal.civicclerk.com,,us:place:0681666,fallback,auto_derived+ryan_stated+upcoming_roster,"rtr-upcoming roster: Vallejo, Solano County, CA (all 109 are CA per Ryan 2026-09-02) -> registry: us_places.csv Vallejo city"
valmarieno17.civicweb.net,,ca:csd:4704003,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Val Marie No. 17
vancouver.primegov.com,,ca:csd:5915022,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Vancouver
vanderhoof.civicweb.net,,ca:csd:5951007,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Vanderhoof
vaughan.escribemeetings.com,,ca:csd:3519028,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Vaughan
ventura.primegov.com,,us:county:06111,authoritative,known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_counties.csv Ventura County
vermilion.civicweb.net,,ca:csd:4810042,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Vermilion
vermilion.escribemeetings.com,,ca:csd:4810042,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Vermilion
vernon.escribemeetings.com,,ca:csd:5937014,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Vernon
veronawi.gov,,us:place:5582600,fallback,ryan_stated,"Verona, WI -- us_places.csv Verona city"
viametrotransit.new.swagit.com,,rtr:us:tx:via-metropolitan-transit,fallback,known_domains,"app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> unverified: minted from 'VIA Metropolitan Transit, TX'"
victoria.civicweb.net,,us:place:2767036,authoritative,landing_page,"Victoria, MINNESOTA -- checked because GOVERNMENT_IDENTITY_ARCHITECTURE.md called this a Canadian CivicWeb host resolving to Victoria TX. Both halves of that were wrong. The portal at https://victoria.civicweb.net/Portal/ reads 'City of Victoria' with the tagline 'City of lakes and parks' (Victoria MN's own motto, Carver County) and carries 'MN' six times with no British Columbia or Canada signal anywhere."
victoria.escribemeetings.com,,ca:csd:5917034,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Victoria
victoria.granicus.com,,ca:cd:1312,fallback,wildcard_http_sweep_1,HTTP 200 -> registry: ca_cd.csv Victoria
victorvilleca.primegov.com,,us:place:0682590,fallback,ryan_stated,"Victorville, CA -- us_places.csv Victorville city"
videoplayer.telvue.com,,us:place:3658354,fallback,hub_sweep_wo126,"coverage registry row us:place:3658354 (Pittsford village, NY); hub https://townofpittsfordny.gov/calendar; meeting found via telvue at https://videoplayer.telvue.com/player/FcqTL0OYMCGU6WlccUApyUL3twz4dm9V/stream/819?fullscreen=false&showtabssearch=true&autostart=true"
videoplayer.telvue.com,CXN6V2zmqTebSQfLjvlDzEql3BwiQh_l,us:cousub:3301517940,fallback,ryan_stated,"Derry, NH -- us_cousubs.csv Derry town"
videoplayer.telvue.com,GNduNoua2rBThhw6N4PRP9OCSPf6B2ru,us:county:42027,fallback,ryan_stated,"Centre County, PA -- us_counties.csv Centre County"
videoplayer.telvue.com,_SDsUsf4Q9kk48PEivDKgMQltXkMOYD2,us:place:3471430,fallback,ryan_stated,"Summit, NJ -- us_places.csv Summit city"
videoplayer.telvue.com,aOt1iJYvW4IQawSCE8Goebgvo0CdBFwN,us:place:2670040,fallback,ryan_stated,"Royal Oak, MI -- us_places.csv Royal Oak city"
videoplayer.telvue.com,bDPj0rbiOCBhmRfsFB-YifGv4qBg-ulA,us:place:3665508,fallback,ryan_stated,"Schenectady, NY -- us_places.csv Schenectady city"
videoplayer.telvue.com,m-2Fvz8xhxNtIFGMxiGzJrgCaIr0cVZT,us:place:2535075,fallback,ryan_stated,"Leominster, MA -- us_places.csv Leominster city"
videoplayer.telvue.com,media/1040134,us:place:4103050,fallback,ryan_stated,"Ryan confirmed https://videoplayer.telvue.com/player/w9sPsSE7vna3XTN_39bs1rEXjVWF0kfP/media/1040134 is Ashland, OR -- an orphan media id with no playlist prefix, so no playlist-based match above catches it"
videoplayer.telvue.com,player/2N9k9wq4NAOA4MJsS7IQS1cHA_WeZd0u,us:place:1933465,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-of-guttenberg-2026-07-13-city-of-guttenberg-council-meeting"
videoplayer.telvue.com,player/2bm0gzQWeVRzdCgvjXziXKwO3icSKh05,us:place:2642160,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-of-kalamazoo-mi-city-of-kalamazoo-august-19-2026-environmental-concerns-com"
videoplayer.telvue.com,player/5nQYx7H7WpbP8AVWnkzXsWu69pAXI7Yq,us:place:4649600,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/pierre-sd-pierre-city-commission"
videoplayer.telvue.com,player/994DtmGEsi0VDYK3jJI2BJ72GfgNIpU2,us:cousub:2501743895,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/natick-natick-select-board-june-10-2026"
videoplayer.telvue.com,player/AbfNhigIqnG-4roGCxaFupXEKfme9dfT,us:county:24035,fallback,archive_study_2026-09-09,"8 solidly-identified archive page(s), e.g. /m/queen-anne-s-county-md-county-commissioners-meeting-07-14-2026"
videoplayer.telvue.com,player/BjiipOg61Ac-YpNM5RFZy8f49fIMR7Kq,us:cousub:3610361984,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/riverhead-ny-2026-08-18-town-board-meeting"
videoplayer.telvue.com,player/FcqTL0OYMCGU6WlccUApyUL3twz4dm9V,us:place:3622865,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/class-of-52-reunion-77"
videoplayer.telvue.com,player/GdKmpgaiQkyNQGt9mPxbWef1BmyvHIOm,us:cousub:2500182525,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/yarmouth-ma-school-committee-meeting-march-12-2026"
videoplayer.telvue.com,player/KhA_ULGx1UdtbPSnwHPL0t1TrYm6rQSe,us:place:4500550,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-council-aug-24-2026"
videoplayer.telvue.com,player/LGzST4YdA6GIkRCa0H5CwbVBptJRJ3XD,us:place:3350260,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/nashua-nh-planning-board-5-1-2025"
videoplayer.telvue.com,player/MYHMRKXBbGFaah07vKkZ_-J4SThODdPq,us:cousub:2501767665,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/stoneham-stoneham-board-of-appeals-2-26-26"
videoplayer.telvue.com,player/O7e6JrKKSJ3H_TX3VgEvpbSSL7Dbnrk2,us:cousub:2502144105,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/needham-ma-needham-select-board-8-11-26"
videoplayer.telvue.com,player/P8wyVTR2qr3_LDUHnb_mF4AFW6RckIeS,us:place:0864255,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/rifle-co-rifle-city-council-sept-2-2026"
videoplayer.telvue.com,player/SzsDk6b45y6N97eOtbGQ_hsTcS0ZfQgT,us:cousub:3301129860,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/goffstown-nh-2026-07-13-select-board"
videoplayer.telvue.com,player/XRGvXhGamdDe6nt3IU9wLyKjf4BqK24i,us:cousub:3605537726,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/2024-03-19-town-2024-03-19-town-board-meeting"
videoplayer.telvue.com,player/XSekkdEeRsk0JHQVHAvKJVka7_5VjxKP,us:cousub:3301552340,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/newmarket-zoning-newmarket-zoning-board-of-adjustments-meeting-january-8th-2024"
videoplayer.telvue.com,player/YGktjFZCLukJd_8Fx53BkVRk4tAZafS4,us:place:0880040,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/vail-co-vail-planning-and-environmental-commission"
videoplayer.telvue.com,player/_kXnKvdgxspEjD2MtLJ9bumkRAtNPxEG,us:cousub:2301516235,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/damariscotta-2026-04-01-damariscotta-select-board"
videoplayer.telvue.com,player/cT30AQ_xtOBQF0oJM2gIVCDX9kjgfWZb,us:place:2521990,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-council-meeting-11-27-23"
videoplayer.telvue.com,player/ngKsmvOplIehacsLE9KAR_RKX5OityeV,us:place:1021200,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/regular-03-10-2025-regular-council"
videoplayer.telvue.com,player/sIzQDLdmoESPXu-bj6RPf3cS7BMEteKV,us:cousub:3401347500,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/montclair-nj-2026-03-11-board-of-education-meeting"
videoplayer.telvue.com,player/talMNRSs41kuvSjXkD0nTr30kDZRGcjH,us:cousub:3605557144,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/penfield-ny-planning-board-meeting-march-26-2026-work-session"
videoplayer.telvue.com,player/yHwj4ve7ki-YFodojv3bS3m9Y1sTcXCC,us:place:2738564,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/2026-08-25-city-council-meeting"
videoplayer.telvue.com,playlists/11253,us:place:3616628,fallback,ryan_stated,"Schopeg playlist ""Village Of Cobleskill"""
videoplayer.telvue.com,playlists/11276,us:sd:3600010,fallback,ryan_stated,"Schopeg playlist ""CRCS Board Of Education"" (Cobleskill-Richmondville Central School District)"
videoplayer.telvue.com,playlists/11277,us:cousub:3609517651,fallback,ryan_stated,"Schopeg playlist ""Town Of Conesville"""
videoplayer.telvue.com,playlists/11278,us:cousub:3609516639,fallback,ryan_stated,"Schopeg playlist ""Town Of Cobleskill"""
videoplayer.telvue.com,playlists/11279,us:county:36095,fallback,ryan_stated,"Schopeg playlist ""Schoharie County Board Of Supervisors"""
videoplayer.telvue.com,playlists/11280,us:cousub:3609566641,fallback,ryan_stated,"Schopeg playlist ""Town Of Sharon"""
videoplayer.telvue.com,playlists/11281,us:place:3666663,fallback,ryan_stated,"Schopeg playlist ""Village Of Sharon Springs"""
videoplayer.telvue.com,playlists/11295,us:cousub:3609561599,fallback,ryan_stated,"Schopeg playlist ""Town Of Richmondville"""
videoplayer.telvue.com,playlists/4259,us:cousub:5002375325,fallback,ryan_stated,"MRVTV playlist ""Town of Waitsfield"""
videoplayer.telvue.com,playlists/4260,us:cousub:5002376525,fallback,ryan_stated,"MRVTV playlist ""Town of Warren"""
videoplayer.telvue.com,playlists/4261,us:cousub:5002325825,fallback,ryan_stated,"MRVTV playlist ""Town of Fayston"""
videoplayer.telvue.com,playlists/4479,us:place:2604105,fallback,ryan_stated,"CMNtv playlist ""Auburn Hills"""
videoplayer.telvue.com,playlists/4480,us:place:2607660,fallback,ryan_stated,"CMNtv playlist ""Berkley"""
videoplayer.telvue.com,playlists/4483,us:place:2650560,fallback,ryan_stated,"CMNtv playlist ""Madison Heights"""
videoplayer.telvue.com,playlists/4536,us:place:2670040,fallback,ryan_stated,"CMNtv playlist ""Royal Oak"""
videoplayer.telvue.com,playlists/4537,us:place:2680700,fallback,ryan_stated,"CMNtv playlist ""Troy"""
videoplayer.telvue.com,playlists/4538,us:place:2669020,fallback,ryan_stated,"CMNtv playlist ""Rochester"""
